"Manufacturer","Model_Name","Category","Screen_Size","Screen","CPU","RAM","Storage","GPU","Operating_System","Operating_System_Version","Weight","Price_in_Euros","CPU_Mark","G3D_Mark"
"HP","17-bs000nv I3","Notebook","17.3""","IPS Panel Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","256GB SSD","AMD Radeon R5 520","Windows","10","2.5kg","699,00","2273","814"
"Lenovo","Yoga 730","2 in 1 Convertible","13.3""","IPS Panel Full HD / Touchscreen 1920x108","Intel Core i7 8550U 1.8GHz","8GB","512GB SSD","Intel UHD Graphics 620","Windows","10","1.19kg","1499,00","5954","1038"
"Dell","Alienware 15","Gaming","15.6""","Full HD 1920x1080","Intel Core i7 7820HK 2.9GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows","10","3.49kg","2813,75","7714","10465"
"HP","250 G6","Notebook","15.6""","1366x768","Intel Core i5 7200U 2.5GHz","4GB","500GB HDD","AMD Radeon 520","Windows","10","1.86kg","612,61","3412","814"
"Dell","Inspiron 3567","Notebook","15.6""","1366x768","Intel Core i3 6006U 2GHz","4GB","1TB HDD","AMD Radeon R5 M430","Windows","10","2.2kg","545,67","2273","649"
"HP","17-Y002nv (A10-9600P/6GB/2TB/Radeon","Notebook","17.3""","IPS Panel Full HD 1920x1080","AMD A10-Series 9600P 2.4GHz","6GB","2TB HDD","AMD Radeon R7 M440","Windows","10","2.65kg","569,00","2217","869"
"Lenovo","V110-15ISK (3855U/4GB/500GB/W10)","Notebook","15.6""","1366x768","Intel Celeron Dual Core 3855U 1.6GHz","4GB","500GB HDD","Intel HD Graphics 510","Windows","10","2.1kg","318,00","1259","619"
"Acer","Chromebook 14","Notebook","14.0""","1366x768","Intel Celeron Dual Core 3855U 1.6GHz","4GB","32GB Flash Storage","Intel HD Graphics 510","Chrome OS",,"1.45kg","375,00","1259","619"
"Lenovo","IdeaPad 520s-14IKB","Notebook","14.0""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.7kg","699,00","3412","944"
"HP","ZBook 17","Workstation","17.3""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","500GB HDD","Nvidia Quadro M1200","Windows","10","3.14kg","1907,99","6954","3393"
"Lenovo","ThinkPad X1","2 in 1 Convertible","14.0""","Touchscreen 2560x1440","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.42kg","2590,00","3650","944"
"Toshiba","Satellite Pro","Notebook","13.3""","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.5kg","973,00","3412","944"
"Acer","TravelMate B117-M","Netbook","11.6""","1366x768","Intel Celeron Dual Core N3050 1.6GHz","4GB","32GB Flash Storage","Intel HD Graphics","Windows","10","1.4kg","269,00","584","919"
"Lenovo","Yoga 910-13IKB","2 in 1 Convertible","14.0""","Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","512GB SSD","Intel HD Graphics 620","Windows","10","1.38kg","1749,00","3650","944"
"Asus","Chromebook Flip","2 in 1 Convertible","12.5""","Full HD / Touchscreen 1920x1080","Intel Core M M3-6Y30 0.9GHz","4GB","64GB Flash Storage","Intel HD Graphics 515","Chrome OS",,"1.2kg","669,00","2003","620"
"Toshiba","Portege Z30T-C-133","Ultrabook","13.3""","Full HD / Touchscreen 1920x1080","Intel Core i7 6500U 2.5GHz","16GB","512GB SSD","Intel HD Graphics 520","Windows","10","1.36kg","1877,00","3276","863"
"HP","15-bs011nv (i7-7500U/4GB/500GB/Radeon","Notebook","15.6""","IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","4GB","500GB HDD","AMD Radeon 530","Windows","10","2.1kg","689,00","3650","947"
"Dell","Inspiron 5577","Gaming","15.6""","Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","Windows","10","2.56kg","819,00","5118","5103"
"Lenovo","IdeaPad 320-15AST","Notebook","15.6""","Full HD 1920x1080","AMD A9-Series 9420 2.9GHz","4GB","256GB SSD","AMD Radeon 530","Windows","10","2.2kg","399,00","1542","947"
"Lenovo","IdeaPad 320-15ABR","Notebook","15.6""","1366x768","AMD A12-Series 9720P 3.6GHz","8GB","1TB HDD","AMD Radeon R7","Windows","10","2.2kg","429,00","2605","1191"
"Lenovo","V310-15IKB (i5-7200U/4GB/1TB/FHD/W10)","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","1TB HDD +  1TB HDD","Intel HD Graphics 620","Windows","10","2.1kg","621,45","3412","944"
"Lenovo","V310-15ISK (i3-6006U/4GB/500GB/No","Notebook","15.6""","1366x768","Intel Core i3 6006U 2GHz","4GB","500GB HDD","Intel HD Graphics 520","No OS",,"1.90kg","450,00","2273","863"
"Dell","Vostro 5568","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","2.18kg","795,00","3412","944"
"Acer","Spin 5","2 in 1 Convertible","13.3""","IPS Panel Full HD / Touchscreen 1920x108","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows","10","1.6kg","999,00","5948","1038"
"Lenovo","ThinkPad P51s","Workstation","15.6""","Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","16GB","512GB SSD","Nvidia Quadro M520M","Windows","7","2.18kg","1855,00","3276","1981"
"Lenovo","Thinkpad T460p","Notebook","14.0""","Full HD 1920x1080","Intel Core i5 6300HQ 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","10","1.8kg","1191,00","4687","863"
"HP","17-ak002nv (A10-9620P/6GB/2TB/Radeon","Notebook","17.3""","IPS Panel Full HD 1920x1080","AMD A10-Series 9620P 2.5GHz","6GB","2TB HDD","AMD Radeon 530","Windows","10","2.71kg","655,01","2503","947"
"Lenovo","Legion Y520-15IKBN","Gaming","15.6""","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows","10","2.5kg","1249,00","6954","5919"
"Dell","Latitude 5480","Notebook","14.0""","Full HD 1920x1080","Intel Core i5 7440HQ 2.8GHz","8GB","256GB SSD","Nvidia GeForce 930MX","Linux",,"1.64kg","1089,00","5493","1309"
"Dell","Vostro 5568","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","1TB HDD","Intel HD Graphics 620","Linux",,"1.98kg","726,00","3412","944"
"Asus","VivoBook E403NA","Notebook","14.0""","Full HD 1920x1080","Intel Celeron Dual Core N3350 1.1GHz","4GB","32GB Flash Storage","Intel HD Graphics 500","Windows","10","1.5kg","298,00","1131","297"
"Dell","Latitude 5580","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7300U 2.6GHz","16GB","512GB SSD","Intel HD Graphics 620","Windows","10","1.93kg","1426,66","3735","944"
"Lenovo","Thinkpad E470","Notebook","14.0""","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Nvidia GeForce 920MX","Windows","10","1.87kg","857,07","3412","1088"
"Dell","Latitude 5580","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7300U 2.6GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.9kg","1179,00","3735","944"
"Lenovo","110-15ACL (A6-7310/4GB/500GB/W10)","Notebook","15.6""","1366x768","AMD A6-Series 7310 2GHz","4GB","500GB HDD","AMD Radeon R4","Windows","10","2.19kg","298,00","1748","333"
"Mediacom","Smartbook 142","Notebook","14.0""","IPS Panel Full HD 1920x1200","Intel Atom Z8350 1.92GHz","4GB","32GB HDD","Intel HD Graphics 400","Windows","10","1.4kg","265,00","921","452"
"HP","ProBook 470","Notebook","17.3""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Nvidia GeForce 930MX","Windows","10","2.63kg","1200,00","3650","1309"
"Lenovo","ThinkPad X1","Ultrabook","14.0""","IPS Panel Quad HD+ 2560x1440","Intel Core i7 6500U 2.5GHz","8GB","512GB SSD","Intel HD Graphics 520","Windows","10","1.17kg","1686,64","3276","863"
"HP","Pavilion X360","2 in 1 Convertible","13.3""","IPS Panel Touchscreen 1366x768","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.58kg","836,60","3412","944"
"Lenovo","ThinkPad T470s","Ultrabook","14.0""","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.32kg","1499,00","3412","944"
"Dell","Alienware 17","Gaming","17.3""","4K Ultra HD 3840x2160","Intel Core i7 7700HQ 2.8GHz","32GB","1TB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows","10","4.36kg","3659,40","6954","10465"
"MSI","GL72M 7REX","Gaming","17.3""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows","10","2.7kg","1348,48","6954","5919"
"Lenovo","V310-15IKB (i5-7200U/4GB/1TB/No","Notebook","15.6""","1366x768","Intel Core i5 7200U 2.5GHz","4GB","1TB HDD","Intel HD Graphics 620","No OS",,"1.9kg","489,90","3412","944"
"Dell","Inspiron 5570","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","128GB SSD +  1TB HDD","AMD Radeon 530","Windows","10","2.2kg","719,00","5948","947"
"Dell","Inspiron 5378","2 in 1 Convertible","13.3""","Full HD / Touchscreen 1920x1080","Intel Core i3 7100U 2.4GHz","4GB","1TB HDD","Intel HD Graphics 620","Windows","10","1.71kg","649,00","2710","944"
"Dell","Inspiron 5567","Notebook","15.6""","1366x768","Intel Core i5 7200U 2.5GHz","8GB","1TB HDD","AMD Radeon R7 M445","Linux",,"2.32kg","589,52","3412","911"
"HP","15-BW037na (A9-9420/4GB/1TB/Radeon","Notebook","15.6""","Full HD 1920x1080","AMD A9-Series 9420 3GHz","4GB","1TB HDD","AMD Radeon 520","Windows","10","2.1kg","489,00","1542","814"
"Acer","Predator 17","Gaming","17.3""","IPS Panel Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","16GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows","10","4.2kg","1935,00","6550","8161"
"Dell","Inspiron 3567","Notebook","15.6""","1366x768","Intel Core i5 7200U 2.5GHz","12GB","1TB HDD","Intel HD Graphics 620","Windows","10","2.25kg","649,00","3412","944"
"HP","15-BW091ND (A9-9420/6GB/1TB","Notebook","15.6""","Full HD 1920x1080","AMD A9-Series A9-9420 3GHz","6GB","128GB SSD +  1TB HDD","AMD Radeon 520","Windows","10","2.1kg","650,00","1542","814"
"Acer","Extensa EX2540-58KR","Notebook","15.6""","1366x768","Intel Core i5 7200U 2.5GHz","4GB","500GB HDD","Intel HD Graphics 620","Windows","10","2.4kg","559,00","3412","944"
"Lenovo","ThinkPad 13","Notebook","13.3""","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.44kg","960,00","3412","944"
"Lenovo","V310-15IKB (i7-7500U/4GB/1TB/FHD/W10)","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","4GB","1TB HDD","Intel HD Graphics 620","Windows","10","1.85kg","779,00","3650","944"
"HP","ZBook 15","Workstation","15.6""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD","Nvidia Quadro M2200","Windows","10","2.6kg","2419,00","6954","4365"
"Dell","Inspiron 5379","2 in 1 Convertible","13.3""","Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","1TB HDD","Intel UHD Graphics 620","Windows","10","1.55kg","659,00","5948","1038"
"MSI","GS63VR 7RF","Gaming","15.6""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows","10","1.8kg","2094,48","6954","8161"
"Acer","Aspire ES1-572","Notebook","15.6""","1366x768","Intel Core i3 6006U 2GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows","10","2.4kg","410,80","2273","863"
"Dell","Inspiron 7560","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce 940MX","Windows","10","2.0kg","1207,00","3650","1510"
"Dell","Vostro 3568","Notebook","15.6""","1366x768","Intel Core i3 6006U 2GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","10","2kg","665,00","2273","863"
"Toshiba","Tecra X40-D-10G","Notebook","14.0""","IPS Panel Full HD / Touchscreen 1920x108","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.25kg","1535,00","3412","944"
"Lenovo","Flex 5","2 in 1 Convertible","14.0""","Full HD / Touchscreen 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.7kg","999,00","3412","944"
"Lenovo","Thinkpad P51s","Workstation","15.6""","IPS Panel 4K Ultra HD 3840x2160","Intel Core i7 7600U 2.8GHz","16GB","1TB SSD","Nvidia Quadro M520M","Windows","10","2.5kg","3299,00","3638","1981"
"Acer","Chromebook 14","Notebook","14.0""","1366x768","Intel Celeron Dual Core N3060 1.6GHz","2GB","32GB Flash Storage","Intel HD Graphics 400","Chrome OS",,"1.68kg","330,00","660","452"
"Samsung","Notebook 9","Ultrabook","13.3""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","256GB SSD","Intel HD Graphics 620","Windows","10","0.81kg","1649,00","3650","944"
"HP","250 G6","Notebook","15.6""","Full HD 1920x1080","Intel Core i3 6006U 2GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","10","1.86kg","539,00","2273","863"
"Dell","Latitude 5480","Notebook","14.0""","1366x768","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.6kg","1126,71","3412","944"
"HP","Zbook 17","Workstation","17.3""","IPS Panel Full HD 1920x1080","Intel Xeon E3-1535M v5 2.9GHz","16GB","256GB SSD","Nvidia Quadro M2000M","Windows","7","3kg","4389,00","7542","3542"
"Lenovo","N23 (N3060/4GB/128GB/W10)","Netbook","11.6""","Touchscreen 1366x768","Intel Celeron Dual Core N3060 1.6GHz","4GB","128GB SSD","Intel HD Graphics 400","Windows","10","1.4kg","475,00","660","452"
"HP","EliteBook 850","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 6300U 2.4GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","10","1.84kg","1900,00","3262","863"
"Asus","X550VX-XX015D (i5-6300HQ/4GB/1TB/GeForce","Notebook","15.6""","1366x768","Intel Core i5 6300HQ 2.3GHz","4GB","1TB HDD","Nvidia GeForce GTX 950M","No OS",,"2.45kg","579,00","4687","2610"
"Lenovo","Thinkpad T460","Ultrabook","14.0""","Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","4GB","1GB SSD","Intel HD Graphics 520","Windows","10","1.7kg","1096,00","3024","863"
"Asus","Pro P2540UA-XO0192R","Notebook","15.6""","1366x768","Intel Core i7 7500U 2.7GHz","4GB","256GB SSD","Intel HD Graphics 620","Windows","10","2.37kg","849,90","3650","944"
"Lenovo","Yoga 900-13ISK","2 in 1 Convertible","13.3""","IPS Panel Quad HD+ / Touchscreen 3200x18","Intel Core i5 6260U 1.8GHz","8GB","256GB SSD","Intel HD Graphics 540","Windows","10","1.3kg","1199,00","3187","863"
"HP","15-cb003na (i5-7300HQ/8GB/1TB","Notebook","15.6""","IPS Panel Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows","10","2.2kg","1099,00","5118","5103"
"HP","ZBook 15","Workstation","15.6""","Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","8GB","256GB SSD","Nvidia Quadro M1000M","Windows","7","2.59kg","1561,00","6550","3009"
"Dell","Alienware 17","Gaming","15.6""","IPS Panel 4K Ultra HD 3840x2160","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows","10","4.42kg","2868,99","6954","10465"
"Acer","Aspire 3","Notebook","15.6""","1366x768","Intel Core i5 7200U 2.5GHz","4GB","256GB SSD","Intel HD Graphics 620","Windows","10","2.1kg","599,00","3412","944"
"Lenovo","Legion Y520-15IKBN","Gaming","15.6""","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows","10","2.5kg","1048,00","6954","5103"
"Dell","Latitude 7280","Ultrabook","12.5""","Full HD 1920x1080","Intel Core i7 7600U 2.8GHz","16GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.18kg","1859,00","3638","944"
"Google","Pixelbook (Core","Ultrabook","12.3""","Touchscreen 2400x1600","Intel Core i5 7Y57 1.2GHz","8GB","256GB SSD","Intel HD Graphics 615","Chrome OS",,"1.1kg","1559,00","2850","725"
"Asus","Zenbook UX330UA-AH5Q","Ultrabook","13.3""","IPS Panel Quad HD+ 3200x1800","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.2kg","1129,00","3412","944"
"Dell","Latitude 3380","Notebook","13.3""","1366x768","Intel Core i3 6006U 2GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows","10","1.65kg","849,00","2273","863"
"Acer","TravelMate P238-M","Notebook","13.3""","1366x768","Intel Core i5 6200U 2.3GHz","4GB","128GB SSD","Intel HD Graphics 520","Windows","10","1.6kg","655,00","3024","863"
"Asus","X751NV-TY001 (N4200/4GB/1TB/GeForce","Notebook","17.3""","1366x768","Intel Pentium Quad Core N4200 1.1GHz","4GB","1TB HDD","Nvidia GeForce 920MX","Windows","10","2.8kg","470,34","2140","1088"
"Dell","Inspiron 7559","Gaming","15.6""","IPS Panel Touchscreen / 4K Ultra HD 3840","Intel Core i7 6700HQ 2.6GHz","16GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 960M","Windows","10","2.72kg","1099,00","6550","3444"
"Samsung","Notebook 9","Ultrabook","13.3""","Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.31kg","1599,00","3650","944"
"Acer","Aspire A315-31","Notebook","15.6""","1366x768","Intel Pentium Quad Core N4200 1.1GHz","4GB","1TB HDD","Intel HD Graphics 505","Linux",,"2.1kg","298,00","2140","344"
"Dell","Inspiron 5567","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","256GB SSD","AMD Radeon R7 M445","Windows","10","2.3kg","1181,27","3650","911"
"Samsung","Notebook 9","2 in 1 Convertible","15.0""","Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","256GB SSD","AMD Radeon 540","Windows","10","1.71kg","1799,00","3650","1278"
"Toshiba","Tecra A40-C-1E5","Notebook","14.0""","IPS Panel 1366x768","Intel Core i5 6200U 2.3GHz","4GB","128GB SSD","Intel HD Graphics 520","Windows","10","1.75kg","1020,00","3024","863"
"Dell","Inspiron 7567","Gaming","15.6""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","Windows","10","2.62kg","1099,00","6954","5103"
"HP","EliteBook 820","Ultrabook","12.5""","1366x768","Intel Core i5 6200U 2.3GHz","4GB","256GB SSD","Intel HD Graphics 520","Windows","10","1.26kg","1244,00","3024","863"
"Asus","Q524UQ-BHI7T15 (i7-7500U/12GB/2TB/GeForc","2 in 1 Convertible","15.6""","Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","12GB","2TB HDD","Nvidia GeForce 940MX","Windows","10","2.3kg","839,00","3650","1510"
"Lenovo","Thinkpad P50","Notebook","15.6""","4K Ultra HD 3840x2160","Intel Core i7 6820HQ 2.7GHz","16GB","512GB SSD","Nvidia Quadro M2000M","Windows","7","2.5kg","2370,00","6924","3542"
"Acer","Swift 3","Notebook","14.0""","IPS Panel Full HD 1920x1080","Intel Core i3 7100U 2.4GHz","4GB","128GB SSD","Intel HD Graphics 620","Windows","10","1.8kg","636,00","2710","944"
"Razer","Blade Pro","Gaming","14.0""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","512GB SSD","Nvidia GeForce GTX 1060","Windows","10","1.95kg","2899,00","6954","8161"
"Asus","Vivobook Max","Notebook","15.6""","1920x1080","Intel Pentium Dual Core N4200 1.1GHz","8GB","128GB SSD","Intel HD Graphics 505","Windows","10","2kg","581,90","2140","344"
"Dell","Alienware 17","Gaming","17.3""","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","32GB","1TB SSD +  1TB HDD","Nvidia GeForce GTX 1070M","Windows","10","4.42kg","3588,80","6954","10465"
"Asus","Rog G752VS-BA171T","Gaming","17.3""","IPS Panel Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows","10","4.3kg","2350,00","6550","10465"
"Toshiba","Tecra Z40-C-161","Ultrabook","14.0""","IPS Panel Full HD 1920x1080","Intel Core i7 6600U 2.6GHz","16GB","512GB SSD","Nvidia GeForce 930M","Windows","10","1.47kg","1764,00","3507","1015"
"Lenovo","IdeaPad 110-15IBR","Notebook","15.6""","1366x768","Intel Celeron Quad Core N3710 1.6GHz","8GB","1TB HDD","Intel HD Graphics 405","No OS",,"2.2kg","329,00","1351","487"
"Lenovo","ThinkPad T470s","Ultrabook","14.0""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","512GB SSD","Intel HD Graphics 620","Windows","10","1.7kg","2299,00","3650","944"
"MSI","GS43VR 7RE","Gaming","14.0""","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows","10","1.6kg","1891,00","6954","8161"
"MSI","GL62M (i5-7300HQ/8GB/1TB","Gaming","15.6""","Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows","10","2.2kg","1089,00","5118","5103"
"Lenovo","Legion Y520-15IKBN","Gaming","15.6""","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","4GB","1TB HDD","Nvidia GeForce GTX 1050","Windows","10","2.4kg","999,00","6954","5103"
"Acer","Predator G9-793","Gaming","17.3""","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows","10","4.2kg","2299,00","6954","8161"
"Dell","Inspiron 7567","Gaming","15.6""","Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","256GB SSD","Nvidia GeForce GTX 1050","Windows","10","2.62kg","985,00","5118","5103"
"Asus","FX502VM-DM560T (i7-7700HQ/8GB/1TB","Gaming","15.6""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX1060","Windows","10","2.24kg","1339,00","6954","8161"
"Vero","K146 (N3350/4GB/32GB/W10)","Notebook","14.0""","1920x1080","Intel Celeron Dual Core N3350 1.1GHz","4GB","32GB Flash Storage","Intel HD Graphics 500","Windows","10","1.22kg","202,90","1131","297"
"Lenovo","ThinkPad Yoga","2 in 1 Convertible","13.3""","IPS Panel Full HD / Touchscreen 1920x108","Intel Core i7 7500U 2.7GHz","8GB","512GB SSD","Intel HD Graphics 620","Windows","10","1.37kg","1970,00","3650","944"
"Lenovo","Yoga 510-15IKB","2 in 1 Convertible","15.6""","Full HD / Touchscreen 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","AMD Radeon R7 M460","Windows","10","2.08kg","959,00","3412","1047"
"Apple","MacBook 12""","Ultrabook","12.0""","IPS Panel Retina Display 2304x1440","Intel Core M 1.2GHz","8GB","512GB Flash Storage","Intel HD Graphics 5300","Mac OS","X","0.920kg","1165,00","2140","388"
"Lenovo","ThinkPad X1","2 in 1 Convertible","14.0""","IPS Panel Touchscreen 2560x1440","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.42kg","2330,00","3412","944"
"Asus","R417NA-RS01 (N3350/4GB/32GB/W10)","Notebook","14.0""","1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","32GB Flash Storage","Intel HD Graphics 500","Windows","10","1.63kg","299,00","1131","297"
"Dell","Latitude 3580","Notebook","15.6""","1366x768","Intel Core i5 7200U 2.5GHz","8GB","128GB SSD","Intel HD Graphics 620","Windows","10","1.95kg","810,00","3412","944"
"Lenovo","Yoga 910-13IKB","2 in 1 Convertible","13.9""","IPS Panel Full HD / Touchscreen 1920x108","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.38kg","1349,00","3650","944"
"Dell","Vostro 5568","Notebook","15.6""","Full HD 1920x1080","Intel Core i3 6006U 2GHz","8GB","256GB SSD","AMD Radeon R5 M420X","Windows","10","2kg","739,00","2273","463"
"HP","ZBook 17","Workstation","15.6""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD","Nvidia Quadro M2200","Windows","10","3.14kg","2064,90","6954","4365"
"Asus","Pro P2540UA-XS51","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","2.37kg","1099,00","3412","944"
"Dell","XPS 13","Ultrabook","13.3""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.29kg","1499,00","3412","944"
"Dell","XPS 15","Notebook","15.6""","4K Ultra HD / Touchscreen 3840x2160","Intel Core i5 7300HQ 2.5GHz","8GB","256GB SSD","Nvidia GeForce GTX 1050","Windows","10","2.06kg","1749,00","5118","5103"
"Dell","Latitude 3180","Netbook","11.6""","1366x768","Intel Pentium Quad Core N4200 1.1GHz","4GB","128GB SSD","Intel HD Graphics 505","Windows","10","1.63kg","744,00","2140","344"
"HP","EliteBook 820","Netbook","12.5""","1366x768","Intel Core i5 7300U 2.6GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.26kg","1389,00","3735","944"
"Toshiba","Satellite Pro","Notebook","15.6""","1366x768","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows","10","2.1kg","780,00","3024","863"
"HP","15-ba043na (A12-9700P/8GB/2TB/W10)","Notebook","15.6""","1366x768","AMD A12-Series 9700P 2.5GHz","8GB","2TB HDD","AMD Radeon R7 Graphics","Windows","10","2.04kg","629,00","2415","1191"
"Dell","Inspiron 7567","Gaming","15.6""","4K Ultra HD 3840x2160","Intel Core i7 7700HQ 2.8GHz","16GB","512GB SSD","Nvidia GeForce GTX 1050 Ti","Windows","10","2.62kg","1679,00","6954","5919"
"Lenovo","IdeaPad 310-15IKB","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","1TB HDD","Nvidia GeForce 920M","Windows","10","2.4kg","609,00","3412","723"
